text_id,text
10001,"In Cancun, we discovered some stunning beaches as well. Our stay in Spain was equally enjoyable. Throughout our travels, we encountered friendly and helpful hotel staff. The bartenders were especially friendly and fun-loving, always quick to serve with a smile. I really enjoyed there!"
10002,"I thoroughly enjoyed my time at the hotel. The ambiance of the lobby, accompanied by the soothing piano music, created a warm and inviting atmosphere, even on cold nights. The spacious room provided a comfortable space for a good sleep. "
10003,"This location made it easy to access various shops, restaurants, and even fast food places, which was incredibly handy for quick shopping or a bite to eat. All in all, the Royal Plaza Hotel provides excellent value for the money. I totally enjoyed my time there!"
10004,"benjamin great choice, stayed benjamin april 2008. family teenagers perfect hotel, husband king sized bed son pull sofa daughter roll-a-way, plenty room, galley kitchen came handy breakfast.we 8th floor facing lexington did street noise hey nyc, sure rooms hotel quieter, staff not helpful, greeted time returned hotel, doormen help, small glitch housekeeping quickly received phone housekeeping manager apologizing asking make mistake, forgot make sofa bed wait 45 minutes housekeeping come care, hot chocolate lobby nice treat returned hotel afternoon, delicious benjamin advertises luxury choice affinia line, agree, stayed type hotel ritz carlton budget hotels, benjamin n't ritz ranks high list nicest properties stayed, amenities excellent staff helpful property spotless great location, ask, return hotel trip nyc,  "
10005,"peaceful stayed room 7 september wonderful stay, especially enjoyed watching goings-on outside canal having amazing breakfast delicious coffee morning relaxing chairs sun pouring open windows late afternoon day spent walking amsterdam, peaceful lovely not stay amsterdam, gunter erik pierre great helpful suggestions asked including platform catch train bruges finished stay, can say good things experience, best place stayed 24 day 4 country trip europe"
10006,"extraordinary hospitality o cousin stayed property friends mentioned good time couple weeks prior, stay mar.11th 16th service wonderful way, work airline mentioned place co-workers affordable complimentary continental breakfasts rooms decent location perfect, abc store right outside convenient late night snacks sandwiches lunch, best waikiki beach just steps away literally, doing renovations right executive housekeeper leonor wong kind couple new improved rooms look like really nice modern classy look plasma tv wall overall roomy look bathrooms super nice, staff amazing leonor treated general manager terry n't treated vacation, got know couple desk employees grace keenan helpful stay, friendly knowledgeable gave good advice places check definitely going stay o,  "
10007,"loved hotel residence foch lovely friendly hotel comfortable rooms great location, nice breakfast, staff welcoming helpful really stay pleasant, left video camera left week having posted secure courier,  "
10008,"loved parc stayed waikiki parc 5/26-5/30 memorial day weekend, little worried n't great experience, hotel did right, everybody gives best service desk housekeeping valet parking waiters, prepared ask upgrade booked deluxe mountain view room w/breakfast open mouth automatically upgraded oceanview room, wonderful got hear halekulani evening night free, room nice clean big 2 adults 1 child, pool 8th floor nice not deep, beach hop alleyway really nice close beach, main drag kalekahua street right heart waikiki walking distance choose not rent car.the valet parking free privileges really handy come lay pool relax stuff, stay included breakfast great did n't worry eating long time, did pay daughter breakfast includes adults.concierge hooked cheap rental car advised tours told little things like aloha bowl stadium swap meet going pearl harbor got early like 7am, make sure not miss snorekling hanauma bay kailua beautiful beach polynesian cultural center high tea kahala oriental hotel dolphin program play dolphins pearl harbor diamond head.the hotel sent airport limousine, wish knew called limo pick, hotel service phenomenal hotel nice definitely stay,  "
10009,"wonderful week gran bahia boyfriend stayed gran bahia principe april 17-24th 2008. traveled mexico 3 years row wanted try new reading reviews admit mixed signals expect hotel check trip advisor travel hotel disappointed people, not flew air transat.. not recommend airline, seats crowded not tv food lacking, try book west jet can.check smooth painless think complaint having pay 32 dollars use safe room, pay use safe.. ruined/lost keys access, room spotless great location right diamond pool, tipped maid couple american dollars day sure fresh towels fresh flowers day bathtub bubbles colored balloons flowers resort large.. mentioned lost easily, understand having sections/rankings hotel certain pools/buffets restaurants use, read map make information session travel rep not problems understanding not access took 1 day understand 1 road runs middle resort way hit punta cana/bavaro lobbies buffet dinners.. went way eventually hit beach furthermore trams/buses run resort speedy fast way end, note people say nearly run buses walking roadway buses people need realize pedestrian walk way running parallel road pedestrian walk way not fight buses.food not bad lot selections, better experienced mexico, ate 4 ala carte restaurants, french/paris restaurant ate steak lobster.. boyfriend enjoyed n't like caribean lobster foreign meat did n't work, second japanese restaurant eat alot sushi home canada weary eating type food country recommend 100, experience sit big grill sous chief cooks different meats rice veggies, food filling good, dominican tell not waist time not big selection bugs bitting plain went, fourth garden grill read previous reviews saying did n't care enjoyed, meat beef best here.beach amazing water warm blue/green little rough times enjoy little wave, complaints people crack dawn reserve seats.. mornings 6am 6:30 prime locations taken, time people getting, thing noticed awful lot people beach day, way remember cancun puerto vallarta, say trip make looking faults like place, no perfect unless spending hefty money, issues overbooking thank god luckily upgraded diamond club no extra fee, includes use private pool middle resort 20 minutes daily free internet use, lastly drinks good plentiful.. favorite mimosas.. champange orange juice.. boyfriend enjoyed pina colada dark rum remember bargin purchasing things.. want atleast 50 off.. inflated.. instance bought carved stone naked woman.. man asked 65 originally got 15.00, savings n't afraid stand firm want pay.. in..,  "
10010,"great choice opera house view researching extensively hotels opera houseviews picked marriot not absurdly expensiveas choices, delighted, lovely viewfrom 20 23rd floors 2 separate stays australia trip, steps harbor ferries therocks close walk downtown, staff helpful foodwas good room nice, hotel great base forexploring sydney,  "
10011,"wonderful hotel lovely hotel hotel remember especially wonderful room, complaint lack english channels movies not enjoyable watching american movies dubbed german understand 3 words total international hotel cater english speaking guests not german speaking guests,  "
10012,"best san fran, went frisco vacation wife april, stay omni outstanding, class way, helpful staff great room excellent service close best attractions, omni just blks north beach great places eat drink, thing recomend limo airport hotel, limo cost 45 plus tip wereas cab just 40 plus tip, hey not arive style,  "
10013,"excellent hotel stayed week new year 2004/2005, hotel expensive worth money, excellent location easy walking circular quay, main criteria doing harbour cruise nye did n't want worry taxi's.the rooms clean comfortable staff friendly helpful, definitely stay visit sydney, great able walk wanted,  "
10014,"street david jones food court just got staying sheraton park sydney 4 nites wonderful stay, yes views hyde park fabulous wish looked window set fireworks night arrived anzac day big deal aussies/kiwis probably spectacular tired, bell staff wonderful tour group tons luggage, efficient polite patient.the bed great husband taken pillows home room luggage alas brekkie delish fortunately included package bit spendy food sydney, got hot tip tour guide said best-kept secret town food court lower level mall street david jones castlereagh st., foodie heaven, swept away culinary paradise offerings, good prices, pick choose sorts foods deli counter noodle bar grill gourmet cheeses olive bar killer wines section did forget mention absolutely amazing patisserie, instead paying lot restaurant food gather quite feast food court bring room, yum, jealous sydney residents shop kitchens tons gourmet food items butcher shop beautiful fruits/veggies sorts just gorgeous food, early want best selections breads goodies, start shutting 4:30 close 6 pm, n't miss,  "
10015,"short visit worth booked 2 rooms sisters friend, travelled train brussels, dam square train station hotel no time, reception area small check quick, rooms lovely, def come, leisure facilites great, stayed 2 nights, cocktails bar pricey, overall expensive worth staying 2 nights location great, stay chance amsterdam, beautiful clean city,  "
10016,"great hotel spent 2 nights hotel globus staff friendly helpful, hotel located short walk train station short walk form duomo florence, rooms definitely small clean modern, stayed hotels price range florence definitely great value lot convenience, definitely stay,  "
10017,"fabulous vacation, loved bahia principe, staff extremely helpful setting excursions, grounds resort beautiful maintained, food generally good, bach beautiful times crowded, drawback maid service not great, trouble getting minibar stocked room generally clean comfortable,  "
10018,"little gem busy union square having decided union square looking reasonably priced hotel earned christmas break, reading reviews chancellor booked direct cheaper called discount travel sites, arrival really pleased location look feel hotel, staff extremely helpful check-in recommended local places eat used pleased, room clean 14th floor corner excellent view not union square skyline bay, bed extremely comfortable room facilities required relaxing, room n't largest compared larger hotels adequate needed given time actually spent room sleeping did mention bed comfortable, staff hotel friendly knowledgeable willing answer questions, loved individual feel hotel compared chains stayed previously rubber duck bathroom lovely touch especially santa duck, cookies hot beverages lobby plentiful no matter time day, overall highly recommend hotel, ca n't wrong location atmosphere price convenience friendliness cleanliness beautiful old architecture, definitely stay return san francisco,  "
10019,"great wee hotel just come 4 night stay hotel, went wife bother wife, staff great stayed excellent rooms, hotel away bizz near vlondell park lovely walk main areas.the shops hotel quality, manner fashion labels, sister lives amsterdam picked hotel gives corroboration appeal.the breakfast room busy, wanted couldd no doubt pay througth nose market, paid person night bed breakfast, booking hotel year, ps weather hot sunny,  "
10020,"great hotel tad inconsistent good enjoyed good service comfy room cheap corporate rate 3 nights, n't huge nice touches, niceties included stuffed bear rubber duckie fruit plate refilled regularly oddly local fruits apples oranges good quality shampoo/towels pillow menu did n't order free shoe shine chocolate plate, service/concierge professional cordial times forgot swipe credit card.some drawbacks location far mrt lighting controls room old hard use radio night tuned station went air early hour heard static set set slippers/toothbrush/etc people.finally stayed different rooms taking night away, higher rooms 22nd nicer lower ones 8th, rate lower ugly bedspread no chocolate no mouthwash fruit older robes tacky conrad hotel logos, lower good just not nice ones,  "
10021,"geat location superb hotel stayed marriott amsterdam early october.the hotel located important tourists point view walking distance.a wonderful park vondel right hotel.the museums walking distance definately recommend van gogh museumthe staff excellent club lounge just superb.the rooms newly renovated really nice.would definately return hotel amsterdam,  "
10022,"great time beach wonderful.background 2 parents 4 children aged 21-17 rooms.cleanliness no bugs, started looking, rooms spotless, bathrooms beach sparkling, convention centers look like bad filling station, staff constantly present cleaning.water n't drink tap instructed staff, free water beer soft drinks room suffice, ice tubs level, ate drank crunched ice problems.food enjoyed variety foods, hotel heroic task satifying wide number palates, parties food enjoyed, enjoyed creseants morning, enjoyed ice cold soberana beach bar, specialty resturants good, given extra reservations used allotment, enjoyed lobster best, children enjoyed steakhouse, steakhouse did n't eat meal supervisor honestly concerned offered another.staff loved people, ruben johnie desk terrific, johnie grounds nod remember room number, ruben great, dufficulty contacting vip rep ruben spent 10 minutes running guy phone, offered tip offered broad smile declined, jack wonderful clown 6'2 smiling recognized wife i. frankie runs entertainment does good job, coleman assistant manager facility broad smile close eye, manager engaging, staff works 12-14hour days 11 days straight days, frequently sing wonderful atttitude, tip nice people.babysitting no children observation staff attentive kind.facilities grounds beautiful maintained, main buffets open air comfortable, gourmet buffet mexican resturant airconditioned, rooms great baths toilet facilities worked, clean.beach terrific, best beach seen, morning staff grooms backhoe hand, saw glass significant debris, coast protected coral reef beach fine ground coral, not white famed beaches fort walton close, far superior cancun playa cozumel, surf great children, family snorkled beach lots fish, no shells, makes walkng confortable, got early enjoy morning beach select chairs, n't peoples things, people honest curtious, children come 11 chairs sun.guests large numbers french brits swiss germans americans, large number women topless, encountered rudeness, enjoyed talking people different places trip, lots cuban expatriots quest staff.casino highlight kids, table ante dollars want dollars, change pesos dominincan dollars ante 25 dr dollars 80 cents, way play dollar.safety felt safe, alot security lighted, general comments tip staff work hard bet little, left 2 dollars day room maids, slipped occasional guy couple bucks, expected appreciative,  "
10023,"pleasant friendly hotel chose hotel good ta reviews turned good choice hotel paris n't able visit nearby quarters foot rue moffetard la sorbonne pantheon saint sulplice saint germain des pres enchanting bit touristy hotel near underground station easily got parts paris.the rooms small quite normal france think, clean comfortable.the staff check really nice helpful gave information needed.we problems heating room night guardian immediadtely tried resolve problem did n't manage going gave elettric stove night day sent mend it.we really felt like home,  "
10024,"unique comfort reasonable price terrass sits prominently edge montmartre facing heart paris, ideally situated romantics not centrally located business people, real merit hotel rooms unique bright creative quite comfortable, need absolute quiet ask room faces courtyards light- noise-dousing window barriers electronically lowered raised, staff pleasant largely fluent english quite responsive, breakfast lunch buffets cheery restaurant tasteful attractive, rooms high-speech internet access ask,  "
10025,"great hotel perfect location wife regular visitors amsterdam stayed numerous hotels city rennaissance offers best location comfort service value.ok bit outdated design does n't offer uniqueness hotels located amsterdam canal houses does offer large rooms extremely comfortable beds served lifts not near vertical stairs excellent service hotel check desk helpful entertaining concierge substantial buffet breakfast ensure comes room rate best locations amsterdam giving easy access wonderful canals jordaan quarter centraal station main shopping street damrak visit awful area stayed club room offering free beer wine soft drinks mini bar access club lounge extra cost think quality rooms better value.so considering booking rennaissance n't negative reviews lot hotel little money,  "
10026,"fantastic stay stayed night friends civil partnership celebration, amazing location hospitality second none, room deluxe double huge london standards excellent facilities, bar buzzing cocktails pricey excellent.what sets hotel apart excellent staff, polite not friendly laidback, gives hotel different intimate atmosphere experienced not hesitate recommend,  "
10027,"new favorite downtown dallas spent nights early june 2008 simply knocked great service friendly helpful staff uniqueness hotel, unlike big chain hotel options available downtown no cookie-cutter rooms hotel lawrence, guestroom decor different no exactly alike rooms include little extra comforts like bathroom fully stocked organic shampoos lotions cotton pads q-tips cute little glass jar full-body spray adjustable shower dual heads, rooms small drawback common historic hotels original rooms preserved intact historically speaking good thing, room clean comfortable nicely decorated.built 1925 lawrence restored care, owners shown lot love old place researched hotel history understand importance proximity heart dallas, great photographs hotel lawrence past adorn walls telling visitors story evolution railroad hotel tourist destination.my room 1001 located corner niche 10th floor, right ice machine elevator noise roused late night noises ghosts rumored haunt 10th floor did, room afforded great view old red courthouse dealey plaza course easy walking distance, drawback parking street parking available nearby n't want feed parking meters easy self-parking train station door bucks valet parking option hotel offers 15.another plus not noisy hotel not outside street traffic noise heard not party palace like hyatt reunion, quiet low-key laid-back easygoing, staff helpful need 3am, offer free shuttle van help downtown going extra mile make sure need taken care, liked able turn a/c open window big chain hotels hermetically sealed windows, lawrence offers nice breakfast morning free starbucks coffee good restaurant house business center free hi-speed internet small workout room pretty need, want swimming pool want look, needs lawrence not met totally exceeded expectations, definitely return future trips dallas,  "
